,name,price_now,price_before,sale,stats,available,image,link,site
34,"LG 65"" OLED 4K TV OLED65B1 + Soundbar",14990,18980.0,True,"['Inkl.', 'LG', 'soundbar', 'SP7', 'med', 'sub']",20+ stk. paa lager.,komplett.no/img/p/800/1212693,komplett.no/product/1212693/tv-lyd-bilde/tv-video/tv-er/lg-65-oled-4k-tv-oled65b1-soundbar?productList=notSet&position=35,komplett
35,"Samsung 50"" The Frame 4K TV QE50LS03 + Lydplanke",12990,15980.0,True,"['Inkl.', 'Samsung', 'Soundbar', 'HW-S56']",20+ stk. paa lager.,komplett.no/img/p/800/1213530,komplett.no/product/1213530/tv-lyd-bilde/tv-video/tv-er/samsung-50-the-frame-4k-tv-qe50ls03-lydplanke?productList=notSet&position=36,komplett
36,"Samsung 65"" 4K QLED TV QE65Q70 + Soundbar",11990,17480.0,True,"['Inkl.', 'Samsung', 'Soundbar', 'HW-A660/XE']",20+ stk. paa lager.,komplett.no/img/p/800/1204494,komplett.no/product/1204494/tv-lyd-bilde/tv-video/tv-er/samsung-65-4k-qled-tv-qe65q70-soundbar?productList=notSet&position=37,komplett
37,"Philips 75"" 4K UHD Ambilight TV 75PUS8546/12",11990,16990.0,True,"['4K', 'UHD', 'LED', '3-side', 'Ambilight', 'Android', 'TV', 'P5', 'Perfect', 'Picture', 'Engine']",17 stk. paa lager.,komplett.no/img/p/800/1188677,komplett.no/product/1188677/tv-lyd-bilde/tv-video/tv-er/philips-75-4k-uhd-ambilight-tv-75pus854612?productList=notSet&position=38,komplett
38,"Samsung 65"" 4K Crystal Color TV + Soundbar og veggfeste",10990,14379.0,True,"['Inkl.', 'Samsung', 'Soundbar', 'HW-A660/XE', 'og', 'Slim', 'Fit', 'veggfeste', 'WMN-A50EB/XC']",20+ stk. paa lager.,komplett.no/img/p/800/1205735,komplett.no/product/1205735/tv-lyd-bilde/tv-video/tv-er/samsung-65-4k-crystal-color-tv-soundbar-og-veggfeste?productList=notSet&position=39,komplett
39,"Samsung 55"" 4K QLED TV QE55Q70 + Soundbar",9990,12980.0,True,"['Inkl.', 'Samsung', 'Soundbar', 'HW-A660/XE']",20+ stk. paa lager.,komplett.no/img/p/800/1204492,komplett.no/product/1204492/tv-lyd-bilde/tv-video/tv-er/samsung-55-4k-qled-tv-qe55q70-soundbar?productList=notSet&position=40,komplett
40,"Samsung 43"" The Frame 4K TV QE43LS03 + Lydplanke",9990,12980.0,True,"['Inkl.', 'Samsung', 'Soundbar', 'HW-S56']",11 stk. paa lager.,komplett.no/img/p/800/1213533,komplett.no/product/1213533/tv-lyd-bilde/tv-video/tv-er/samsung-43-the-frame-4k-tv-qe43ls03-lydplanke?productList=notSet&position=41,komplett
41,"LG 55"" 4K NanoCell TV 55NANO81",9990,,,"['Utrolige', 'farger', 'i', 'ekte', '4K', 'med', 'Quad-Core', 'og', 'Nanocell', 'teknologi', 'Web', 'OS']",20+ stk. paa lager.,komplett.no/img/p/800/1205938,komplett.no/product/1205938/tv-lyd-bilde/tv-video/tv-er/lg-55-4k-nanocell-tv-55nano81?productList=notSet&position=42,komplett
42,"LG 55"" NanoCell 4K  TV 55NANO81 + Soundbar",14980,,,"['Inkl.', 'LG', 'soundbar', 'SP7', 'med', 'sub']",20+ stk. paa lager.,komplett.no/img/p/800/1212690,komplett.no/product/1212690/tv-lyd-bilde/tv-video/tv-er/lg-55-nanocell-4k-tv-55nano81-soundbar?productList=notSet&position=43,komplett
43,"Samsung 65"" 4K Neo QLED TV QE65QN90 + Soundbar",31980,,,"['Inkl.', 'Samsung', 'Soundbar', 'HW-A660/XE']",20+ stk. paa lager.,komplett.no/img/p/800/1204493,komplett.no/product/1204493/tv-lyd-bilde/tv-video/tv-er/samsung-65-4k-neo-qled-tv-qe65qn90-soundbar?productList=notSet&position=44,komplett
44,"Samsung 65"" 4K Neo QLED TV QE65QN90 + Soundbar",30980,,,"['Inkl.', 'Samsung', 'Soundbar', 'HW-Q810A/XE']",20+ stk. paa lager.,komplett.no/img/p/800/1211523,komplett.no/product/1211523/tv-lyd-bilde/tv-video/tv-er/samsung-65-4k-neo-qled-tv-qe65qn90-soundbar?productList=notSet&position=45,komplett
45,"Samsung 43"" 4K Neo QLED TV QE43QN90",8990,,,"['Neo', 'QLED', '4K', '120', 'Hz', 'Gaming', 'TV', 'med', 'Antirefleks', 'og', 'Quantum', 'Mini', 'LED']",20+ stk. paa lager.,komplett.no/img/p/800/1211627,komplett.no/product/1211627/tv-lyd-bilde/tv-video/tv-er/samsung-43-4k-neo-qled-tv-qe43qn90?productList=notSet&position=46,komplett
46,"Philips 55"" 4K UHD Ambilight TV 55PUS7906/12 + Soundbar",8980,,,"['Android', 'TV', 'Inkl.', 'Philips', 'TAB5305/12', 'soundbar']",10 stk. paa lager.,komplett.no/img/p/800/1211761,komplett.no/product/1211761/tv-lyd-bilde/tv-video/tv-er/philips-55-4k-uhd-ambilight-tv-55pus790612-soundbar?productList=notSet&position=47,komplett
47,"Philips 65"" 4K UHD Ambilight TV 65PUS7906/12 + Soundbar",13980,,,"['Android', 'TV', 'Inkl.', 'Philips', 'TAB5305/12', 'soundbar']",5 stk. paa lager.,komplett.no/img/p/800/1211762,komplett.no/product/1211762/tv-lyd-bilde/tv-video/tv-er/philips-65-4k-uhd-ambilight-tv-65pus790612-soundbar?productList=notSet&position=48,komplett
48,"Samsung 85"" Q70B 4K QLED TV",37990,,,"['Quantum', 'AI', 'Processor', '4K', '120Hz', 'Gaming', 'TV', 'unik', 'fargeteknikk']",1 stk. paa lager.,komplett.no/img/p/800/1212590,komplett.no/product/1212590/tv-lyd-bilde/tv-video/tv-er/samsung-85-q70b-4k-qled-tv?productList=notSet&position=49,komplett
49,"Samsung 55"" Q70B 4K QLED TV",11990,,,"['Quantum', 'AI', 'Processor', '4K', '120Hz', 'Gaming', 'TV', 'unik', 'fargeteknikk']",3 stk. paa lager.,komplett.no/img/p/800/1212593,komplett.no/product/1212593/tv-lyd-bilde/tv-video/tv-er/samsung-55-q70b-4k-qled-tv?productList=notSet&position=50,komplett
50,"Samsung 75"" Q60B 4K QLED TV",19490,,,"['4K', 'Smart', 'TV', 'Airslim', 'MultiView', 'Supreme', 'UHD', 'Dimming']",1 stk. paa lager.,komplett.no/img/p/800/1212597,komplett.no/product/1212597/tv-lyd-bilde/tv-video/tv-er/samsung-75-q60b-4k-qled-tv?productList=notSet&position=51,komplett
51,"Samsung 85"" Q60B 4K QLED TV",29990,,,"['4K', 'Smart', 'TV', 'Airslim', 'MultiView', 'Supreme', 'UHD', 'Dimming']",2 stk. paa lager.,komplett.no/img/p/800/1212601,komplett.no/product/1212601/tv-lyd-bilde/tv-video/tv-er/samsung-85-q60b-4k-qled-tv?productList=notSet&position=52,komplett
52,"Samsung 85"" QN90B 4K Neo QLED TV",55990,,,"['Neo', 'QLED', '4K', '120', 'Hz', 'Gaming', 'TV', 'med', 'Antirefleks', 'og', 'Quantum', 'Mini', 'LED']",1 stk. paa lager.,komplett.no/img/p/800/1212602,komplett.no/product/1212602/tv-lyd-bilde/tv-video/tv-er/samsung-85-qn90b-4k-neo-qled-tv?productList=notSet&position=53,komplett
53,"Samsung 50"" Q80B 4K QLED TV",12990,,,"['Freesync', 'Premium', 'Pro', 'Dolby', 'Atmos', '4K', '120', 'Hz', 'Gaming', 'TV']",1 stk. paa lager.,komplett.no/img/p/800/1212604,komplett.no/product/1212604/tv-lyd-bilde/tv-video/tv-er/samsung-50-q80b-4k-qled-tv?productList=notSet&position=54,komplett
54,"Samsung 43"" Q60B 4K QLED TV",7490,,,"['4K', 'Smart', 'TV', 'Airslim', 'MultiView', 'Supreme', 'UHD', 'Dimming']",10 stk. paa lager.,komplett.no/img/p/800/1212605,komplett.no/product/1212605/tv-lyd-bilde/tv-video/tv-er/samsung-43-q60b-4k-qled-tv?productList=notSet&position=55,komplett
55,"Samsung 65"" Q70B 4K QLED TV",14990,,,"['Quantum', 'AI', 'Processor', '4K', '120Hz', 'Gaming', 'TV', 'unik', 'fargeteknikk']",3 stk. paa lager.,komplett.no/img/p/800/1212607,komplett.no/product/1212607/tv-lyd-bilde/tv-video/tv-er/samsung-65-q70b-4k-qled-tv?productList=notSet&position=56,komplett
56,"Samsung 75"" The Frame LS03B  4K TV (2022)",29990,,,"['Design', 'TV', '4K', 'Smart', 'TV', 'og', 'et', 'kunstverk', 'når', 'TV-en', 'er', 'avslått.']",2 stk. paa lager.,komplett.no/img/p/800/1212608,komplett.no/product/1212608/tv-lyd-bilde/tv-video/tv-er/samsung-75-the-frame-ls03b-4k-tv-2022?productList=notSet&position=57,komplett
57,"Samsung 75"" Q80B 4K QLED TV",27990,,,"['Freesync', 'Premium', 'Pro', 'Dolby', 'Atmos', '4K', '120', 'Hz', 'Gaming', 'TV']",1 stk. paa lager.,komplett.no/img/p/800/1212609,komplett.no/product/1212609/tv-lyd-bilde/tv-video/tv-er/samsung-75-q80b-4k-qled-tv?productList=notSet&position=58,komplett
58,"Samsung 55"" Q80B 4K QLED TV",14990,,,"['Freesync', 'Premium', 'Pro', 'Dolby', 'Atmos', '4K', '120', 'Hz', 'Gaming', 'TV']",2 stk. paa lager.,komplett.no/img/p/800/1212611,komplett.no/product/1212611/tv-lyd-bilde/tv-video/tv-er/samsung-55-q80b-4k-qled-tv?productList=notSet&position=59,komplett
59,"Samsung 85"" The Frame LS03B 4K TV (2022)",44990,,,"['Design', 'TV', '4K', 'Smart', 'TV', 'og', 'et', 'kunstverk', 'når', 'TV-en', 'er', 'avslått.']",1 stk. paa lager.,komplett.no/img/p/800/1212612,komplett.no/product/1212612/tv-lyd-bilde/tv-video/tv-er/samsung-85-the-frame-ls03b-4k-tv-2022?productList=notSet&position=60,komplett
60,"Samsung 50"" Q60B 4K QLED TV",8490,,,"['4K', 'Smart', 'TV', 'Airslim', 'MultiView', 'Supreme', 'UHD', 'Dimming']",8 stk. paa lager.,komplett.no/img/p/800/1212617,komplett.no/product/1212617/tv-lyd-bilde/tv-video/tv-er/samsung-50-q60b-4k-qled-tv?productList=notSet&position=61,komplett
61,"Samsung 85"" QN900B 8K Neo QLED TV",99999,,,"['8K', 'Quantum', 'Mini', 'LED', 'Infinity', 'screen', '8K', 'AI', 'Upscaling', '4K', '120', 'Hz', 'Gaming', 'TV']",1 stk. paa lager.,komplett.no/img/p/800/1212626,komplett.no/product/1212626/tv-lyd-bilde/tv-video/tv-er/samsung-85-qn900b-8k-neo-qled-tv?productList=notSet&position=62,komplett
62,"Samsung 65"" QN900B 8K Neo QLED TV",57990,,,"['8K', 'Quantum', 'Mini', 'LED', 'Infinity', 'screen', '8K', 'AI', 'Upscaling', '4K', '120', 'Hz', 'Gaming', 'TV']",5 stk. paa lager.,komplett.no/img/p/800/1212629,komplett.no/product/1212629/tv-lyd-bilde/tv-video/tv-er/samsung-65-qn900b-8k-neo-qled-tv?productList=notSet&position=63,komplett
63,"LG 65"" OLED 4K TV OLED65C1 + Soundbar",20980,,,"['Inkl.', 'LG', 'soundbar', 'SP7', 'med', 'sub']",20+ stk. paa lager.,komplett.no/img/p/800/1212689,komplett.no/product/1212689/tv-lyd-bilde/tv-video/tv-er/lg-65-oled-4k-tv-oled65c1-soundbar?productList=notSet&position=64,komplett
64,"LG 55"" Nanocell 4K TV 55NANO75 + Soundbar",10980,,,"['Inkl.', 'LG', 'soundbar', 'SP7', 'med', 'sub']",20+ stk. paa lager.,komplett.no/img/p/800/1212692,komplett.no/product/1212692/tv-lyd-bilde/tv-video/tv-er/lg-55-nanocell-4k-tv-55nano75-soundbar?productList=notSet&position=65,komplett
65,"Samsung 85"" QN90B 4K Neo QLED TV + Samsung 43"" QN90A 4K Neo QLED TV",64989,,,"['Inkl.', 'Samsung', '43""', '4K', 'Neo', 'QLED', 'TV', 'QE43QN90']",1 stk. paa lager.,komplett.no/img/p/800/1212830,komplett.no/product/1212830/tv-lyd-bilde/tv-video/tv-er/samsung-85-qn90b-4k-neo-qled-tv-samsung-43-qn90a-4k-neo-qled-tv?productList=notSet&position=66,komplett
66,"Samsung 55"" The Terrace LST7T 4K TV",39990,,,"['4K', 'Smart', 'TV', 'utendørs', 'bildekvalitet', 'i', 'toppklasse', 'og', 'optimal', 'synlighet', 'utendørs']",2 stk. paa lager.,komplett.no/img/p/800/1213068,komplett.no/product/1213068/tv-lyd-bilde/tv-video/tv-er/samsung-55-the-terrace-lst7t-4k-tv?productList=notSet&position=67,komplett
67,"Samsung 75"" The Terrace LST7T 4K TV",59990,,,"['4K', 'Smart', 'TV', 'utendørs', 'bildekvalitet', 'i', 'toppklasse', 'og', 'optimal', 'synlighet', 'utendørs']",2 stk. paa lager.,komplett.no/img/p/800/1213069,komplett.no/product/1213069/tv-lyd-bilde/tv-video/tv-er/samsung-75-the-terrace-lst7t-4k-tv?productList=notSet&position=68,komplett
68,"Samsung 65"" The Terrace LST7T 4K TV",49990,,,"['4K', 'Smart', 'TV', 'utendørs', 'bildekvalitet', 'i', 'toppklasse', 'og', 'optimal', 'synlighet', 'utendørs']",2 stk. paa lager.,komplett.no/img/p/800/1213070,komplett.no/product/1213070/tv-lyd-bilde/tv-video/tv-er/samsung-65-the-terrace-lst7t-4k-tv?productList=notSet&position=69,komplett
69,"LG 43"" UHD AI ThinQ 4K TV 43UQ7500",4790,,,"['4K', 'Web', 'OS']",4 stk. paa lager.,komplett.no/img/p/800/1213700,komplett.no/product/1213700/tv-lyd-bilde/tv-video/tv-er/lg-43-uhd-ai-thinq-4k-tv-43uq7500?productList=notSet&position=70,komplett
70,"LG 50"" NANO NanoCell 4K TV 50NANO78",7990,,,"['Utrolige', 'farger', 'i', 'ekte', '4K', 'med', 'Quad-Core', 'og', 'Nanocell', 'teknologi', 'Web', 'OS']",2 stk. paa lager.,komplett.no/img/p/800/1213704,komplett.no/product/1213704/tv-lyd-bilde/tv-video/tv-er/lg-50-nano-nanocell-4k-tv-50nano78?productList=notSet&position=71,komplett
71,"LG 55"" NANO NanoCell 4K TV 55NANO78",8490,,,"['Utrolige', 'farger', 'i', 'ekte', '4K', 'med', 'Quad-Core', 'og', 'Nanocell', 'teknologi', 'Web', 'OS']",4 stk. paa lager.,komplett.no/img/p/800/1213707,komplett.no/product/1213707/tv-lyd-bilde/tv-video/tv-er/lg-55-nano-nanocell-4k-tv-55nano78?productList=notSet&position=72,komplett
